id	GSM2690788_con	GSM2690789_con	GSM2690790_con	GSM2690785_treat	GSM2690786_treat	GSM2690787_treat
A1BG	6.225389548066	5.48344016918321	5.9038012926114	5.55521576503358	5.42823289478098	5.96096762105118
A1CF	11.4926386316837	7.50016499377956	10.7402832790739	11.2556878900229	12.2956317590434	11.3225700079271
A2M	12.0201644555955	12.8654410216798	12.1884979270113	12.3882204072753	12.2682270306111	11.9152269768839
A4GALT	5.28118470761755	7.32927033791527	6.83921503550675	8.69935695251595	8.55689819965032	8.17101312756392
A4GNT	6.89523299019582	3.38313511494322	7.0823663979466	5.72762101915586	4.2860512781799	6.63321761592382
AAAS	5.57569599852102	5.87889289766668	5.9038012926114	5.96459082536717	6.69241558288423	5.666437696356
AACS	10.9159496412923	11.0988508732139	10.4790933683646	9.95005551251091	9.81944938710541	10.033613559372
AACSP1	3.71312695984888	4.82926298607851	4.08723025986503	6.09176812064226	7.54822412108222	6.3770009603309
AADAC	2.67851155203307	2.38382718459003	3.11806221430557	2.64193992408264	2.7332929044128	3.20919447146697
AADACL2	3.20919447146697	3.26565875818717	3.82165012889624	3.36072386762301	3.64146969954344	3.38313509708423
AADACL3	5.95819962741663	6.02963417978937	7.00361203938408	6.3226426027034	6.63243861502524	6.52552748486438
AADACL4	6.74659526066088	5.79015718185563	6.92278604731218	5.89078367797856	6.01945607892845	6.32648739919518
AADAT	9.63005489521183	8.84610267153383	9.24090201247008	8.95794506990585	9.02943545170441	8.63966110587461
AAED1	6.87014449250441	7.97573141735185	7.88383477632994	8.62132242066047	8.45413949728882	8.42515456141313
AAGAB	6.78491486852916	7.35430600094501	6.82223996524354	5.71612859975138	5.81957694012979	5.95206634492916
AAK1	10.3122873250606	10.5421181853609	10.3258374773744	10.0178615344187	9.80792498135125	10.4298067639826
AAMDC	9.45015434022738	9.51334932867853	8.16256680804599	8.95112922878882	8.5922837851836	8.73696419089867
AAMP	11.8098921774957	11.5491150773652	11.6991867826958	11.6338791628419	11.434186427025	11.2827479326967
AANAT	3.20919447146697	3.26565875818717	3.71312695984888	3.36072386762301	3.51815316701478	4.01661933823577
AAR2	9.37410827922492	9.23456693125316	8.49029487270588	9.0211584295406	8.6763488308762	8.27026153309595
AARD	8.32825432249229	7.3503703390164	8.60256876621718	7.65810050288119	7.47283562829195	8.08630741016534
AARS	9.18405107180709	10.3473889566632	8.33497562075521	9.67705199565748	9.85547500361087	8.3832818616542
AARS2	8.82329066489002	9.55741410052947	9.59697529263998	9.65214706491117	9.82477785219944	10.0248761212
AASDH	10.0499785710365	10.1859743078111	10.741665463598	9.93519539587412	9.94490953153959	10.2285699483983
AASDHPPT	8.04912195658927	7.96823800286564	7.3140559437015	7.60373356219758	7.80191348978622	6.90841752875207
AASS	10.7986636399131	10.420539363068	10.6795333765564	10.4564606023521	9.89170522261135	10.4554552829322
AATF	7.67646966429785	8.29507910707923	6.81035056554374	8.69935695251595	8.66640699178899	7.80584425814382
AATK	4.73838785224661	5.33847188892367	6.56161843463306	7.40340381157022	6.58292796160972	7.17805760521848
AATK-AS1	8.18097568372761	6.59179567913888	8.67987433844752	6.92072409115029	6.83804596494761	7.92516366999249
ABAT	8.23597632267693	7.5338048819532	8.3917563892146	6.98425646866655	7.43902131094109	6.33275324934064
ABCA1	8.49549607170818	9.28459730199992	8.70116715303643	10.6323018825931	11.4829248754414	11.1521606324567
ABCA10	7.07247066237316	7.74938237178847	7.82674414704657	7.10566033738191	6.75828047198488	7.10550102334232
ABCA11P	3.64146969954344	5.66643769789082	4.29389194938359	4.8224936363056	4.92963535740259	3.80532755742231
ABCA12	3.06340432743672	3.15612282302608	3.11806221430557	7.87199664884826	8.09355859827264	6.03416939851532
ABCA13	3.82165012889624	5.56471320922424	4.16447915414769	3.13166988603893	4.01661933823577	3.38313509708423
ABCA17P	7.76918327843181	6.85582377406308	7.5742377351324	7.20414749612567	7.23330275631988	7.56829380564621
ABCA2	7.2845625429997	6.60455009298221	6.95293135414145	6.85582377406308	6.82628618076026	7.01810584075431
ABCA3	9.64729237026901	9.27278902003557	9.13276528552701	10.2189044026695	10.235982306819	10.0544745810007
ABCA4	7.07988525112441	7.40340382187339	6.74968931979799	5.24908949271818	5.55049551616765	6.19113957906359
ABCA5	1.41682891579797	5.04775754287262	2.98156330246839	4.04373728804715	4.09624716606189	3.01342996950917
ABCA6	6.57019773204222	7.37303018635769	6.27851132998956	5.55521576503358	6.20660397499011	4.88033553738967
ABCA7	4.21653990576457	4.2312126214814	4.67625630882493	4.26280087582699	4.92963535740259	5.14387206278006
ABCA8	7.99076180606831	7.97573141735185	8.07047096648994	6.88279689373134	6.46905111690864	7.91907469334487
ABCA9	3.51815316701478	3.64146969954344	3.51815316701478	3.51815316701478	3.64146969954344	3.01342996950917
ABCB1	6.42668772150337	9.95585132740988	8.64230334136134	7.70786735379917	7.90956054463981	7.37456302508987
ABCB10	5.32744925961995	5.26756393386869	5.29904967579724	5.07912784054149	5.3934785586116	5.48344015131634
ABCB11	6.34154019737963	4.2312126214814	6.19111196874247	5.76035689105864	3.25030858599155	6.60335152462339
ABCB4	3.39401472619411	3.58633798457163	3.82165012889624	5.97940705425665	5.82460270057275	6.56209814421036
ABCB5	3.71312695984888	3.10363800007466	3.77155435978703	3.91494823700072	3.68139051765793	3.80532755742231
ABCB6	6.99356003890649	6.80690595747459	6.70539680270727	8.57373749973915	8.94792806764348	6.60335152462339
ABCB7	7.73955087209029	8.53225443518627	9.34515156490933	8.54754476035005	9.49412486775127	9.6193820270953
