geneNames	GSM2674259	GSM2674260	GSM2674261	GSM2674262	GSM2674263	GSM2674264	GSM2674265	GSM2674266
hsa_circ_0000121	10.14624839	10.63843445	11.60652014	11.71398986	11.59831351	11.92457997	12.16453329	12.30215648
hsa_circ_0000122	13.35903722	12.41819809	14.90160635	14.60052265	15.70705402	16.23494016	15.86936788	15.97126284
hsa_circ_0000123	12.19644795	9.775298973	10.39492982	12.31896595	8.873054586	7.674842924	8.281343038	7.040272048
hsa_circ_0000124	6.215501696	5.586791387	5.346456559	5.66351221	5.353089914	5.837587255	5.216683303	5.169860383
hsa_circ_0000125	7.675945658	6.899337436	6.1176096	8.367271185	5.312824433	5.226350055	5.347564238	5.370631183
hsa_circ_0000126	8.759882817	7.832088638	8.620213914	8.323891923	7.979058652	8.199971097	7.987254845	7.397660838
hsa_circ_0000127	9.541698525	10.27503137	10.14958632	10.02123803	10.52460135	9.217120759	9.560389466	9.973964054
hsa_circ_0000129	9.458146941	8.715956458	9.492913964	9.238550166	9.534421343	10.31373152	10.81305336	10.60472546
hsa_circ_0000132	5.23115925	5.022296235	4.915802318	4.643763141	5.29226227	4.823285075	5.121466694	5.027834693
hsa_circ_0000133	10.3626955	9.958912819	10.16757293	9.471290893	10.06111583	9.719599969	9.541093493	9.074388058
hsa_circ_0000134	5.921802566	5.444961445	5.741423505	5.537168306	6.070757202	7.198429203	6.899337436	7.795217493
hsa_circ_0000392	5.832849203	7.637292438	7.232705242	6.991503565	7.529905941	8.047115117	7.460442688	7.892912437
hsa_circ_0000140	7.266771435	8.055951493	7.95709268	7.112422696	7.827332462	7.989207924	8.028760513	8.13858354
hsa_circ_0000145	6.285950294	6.701284108	7.25589853	5.906100205	7.007009181	7.711655876	6.899337436	7.040272048
hsa_circ_0000148	5.609131081	5.493803826	6.082114706	5.491801402	6.213072863	8.675730867	6.528428911	7.364667741
hsa_circ_0000150	11.05451844	7.439298059	8.714454651	8.385855446	8.334824723	8.780534478	9.479271771	9.41137516
hsa_circ_0000152	5.23115925	4.707270087	5.122761232	5.013948477	4.854787993	7.855637123	6.483285954	7.410702662
hsa_circ_0000155	6.648334392	7.719163843	6.89100459	6.788697293	7.081133342	6.011191189	6.630243642	6.595233422
hsa_circ_0000156	6.581176287	7.676827238	6.581176287	7.002093629	7.383150326	6.802899365	6.720222196	6.144625363
hsa_circ_0000158	6.894798215	5.912850726	5.710762018	6.428333163	5.882603621	6.325276445	6.401385359	6.086101984
hsa_circ_0000161	8.745773932	7.552896819	7.930358211	8.785038441	8.631057478	8.828230558	8.897462464	7.599435987
hsa_circ_0000488	6.850166675	6.3264005	5.310554167	8.161123756	4.879504225	4.65454367	4.696877838	4.927701534
hsa_circ_0000163	5.843880551	6.270265189	6.788697293	6.483285954	6.040254374	6.642028401	6.630243642	6.485803353
hsa_circ_0000164	7.903495595	8.220975055	7.406722774	7.850958075	7.115677179	6.163617226	6.461964563	6.98083519
hsa_circ_0000165	5.805702285	7.158277818	7.681666325	6.4797542	7.315984024	7.694346656	7.528685686	6.322462471
hsa_circ_0000512	11.19406328	13.55441628	14.38968164	12.01378008	15.23393553	15.81742555	13.22801986	16.63750046
