geneNames	GSM2690785	GSM2690786	GSM2690787	GSM2690788	GSM2690789	GSM2690790
AHSP	7.374579	100.330368	71.729843	248.028854	88.135368	188.470779
AICDA	24.889206	22.716311	35.864922	26.173899	12.937302	23.217415
AIDA	9303.9541	9044.87793	18800.5762	7786.11182	5943.88135	5995.55615
AIF1	213.8628005	215.331699	303.9322125	577.072174	204.166794	467.762604
AIF1L	59.918457	50.165184	9.196134	511.014221	597.541626	452.056732
AIFM1	3673.4624	3650.70044	2792.86572	8042.86523	6564.06348	3847.26221
AIFM2	529.126099	615.233398	679.594299	368.927338	280.577728	423.376404
AIFM3	30.881052	163.7467385	46.900283	77.2753185	25.874604	237.6370695
AIG1	569.686279	1004.25024	725.574951	208.144821	599.967346	469.811218
AIM1	1202.0564	1421.66248	1516.44238	590.782288	1019.62109	786.660645
AIM1L	44.247475	38.80703	84.604431	38.637661	15.363046	31.411797
AIM2	220.315567	318.974854	712.700378	127.130371	151.204712	161.156174
AIMP1	162.70166	191.668869	85.524044	138.3477555	361.0315705	101.7469065
AIMP2	1014.0047	998.571167	829.491272	1288.75293	2707.13037	1103.51001
AIP	1853.784851	1486.0252665	2869.6535825	2313.8973085	1930.487975	1329.5383935
AIPL1	31.8028735	34.547723	57.475835	64.811558	34.364708	79.8952215
AIRE	163.162567	168.479309	230.822952	715.419922	148.778961	589.995483
AJAP1	37.3338085	340.271408	48.739507	44.869541	202.5496255	74.4323005
AJUBA	354.9016495	353.04932	863.5169585	727.883693	327.8797265	832.412597
AK1	478.118560666667	453.379689666667	683.885834666667	1505.62235666667	1084.84664966667	946.451092
AK2	3365.573618	3491.68616533333	3258.19019266667	4785.25354433333	4740.44289933333	2874.40694266667
AK3	2937.387205	4035.93109	4088.141175	8915.32839	8089.04783	10650.648215
AK4	3482.184267	6210.5445305	3302.7914265	7055.7354235	965.0418195	4217.375153
AK5	9.218225	10.411642	9.196134	23.681147	10.511558	25.948875
AK7	0.921822	0	0.919613	-1.246376	0	5.462921
AK8	88.494949	106.955963	99.318245	191.941925	120.478622	198.030884
AKAP1	381.634491	407.947083	272.205566	229.333206	1133.6311	510.783142
AKAP10	-0.921822	0	0	1.246376	0	0
AKAP11	404.680054	477.042511	271.28595	271.709991	855.479065	323.67807
AKAP12	280.2340215	609.5543215	51.498349	84.1303865	452.8055465	295.680599
AKAP13	818.578308	968.282715	1016.17279	361.449097	505.363342	312.752228
AKAP14	1.843645	0.946513	0.919613	6.231881	2.425744	1.36573
AKAP17A	311.575989	289.632965	481.877411	144.579636	219.125549	221.248306
AKAP2|PALM2-AKAP2	651.2675275	1063.4073195	1154.5745515	307.2317165	705.0829365	1058.440915
AKAP3	44.247475	46.379135	32.186466	147.072388	123.712944	111.989883
AKAP4	4.609112	4.732565	3.678453	7.478257	4.851488	9.560112
AKAP5	13.3664245	14.197694	11.495167	11.217385	67.112251	20.485954
AKAP6	19.358271	29.341902	22.070721	66.057938	27.491766	43.703369
AKAP7	450.771179	717.456787	539.813049	522.231628	430.973846	379.673035
AKAP8	6076.65332	5655.41504	6581.67285	5006.69287	4533.71582	3881.40552
AKAP8L	1020.45746	1283.47156	1443.79297	1874.54968	1164.35718	1623.85327
AKAP9	680.304932	793.177856	833.169678	670.550354	1507.19568	691.059509
AKD1	119.836914	103.1699065	101.6172755	114.666607	149.9918445	96.9668505
AKIP1	2064.421325	1723.599975	2470.541261	1991.70905	2434.23413	1518.009215
AKIRIN1	247.048405	301.9376145	288.758589	387.6229715	736.213341	520.3432425
AKIRIN2	564.6162415	611.9205935	813.8578195	578.9417115	750.7677615	467.079773
AKNA	126.7505875	168.00605	125.5272255	588.2895585	186.782284	381.038742
AKNAD1	3.6872895	7.5721035	6.4372935	7.478257	16.171627	13.657303
AKR1A1	659.103027	672.02417	159.093109	1079.36169	552.261047	397.427521
AKR1B1	3773.94092	4513.92041	5949.89844	2912.78101	11879.6768	4752.74121
AKR1B10	5293.10449	133.458328	18.392267	16.20289	12.937302	40.971909
AKR1B15	411.132812	523.421631	285.999756	1145.41968	378.416077	924.599426
AKR1C1|AKR1C3|LOC101060798|AKR1C4	3894.69971	2123.02856	1165.15015	1883.27441	4498.94678	1455.86853
AKR1C1|LOC101060798	2712.00146	1511.58118	574.758362	2815.56372	9799.19727	4221.47217
AKR1C2	6.4527575	3.786052	7.356907	10.594197	5.6600695	10.925842
AKR1C3	12771.3891905	8708.865742	12806.076177	5573.1711725	5581.2327765	2969.7803945
AKR1C3|AKR1C1	5008.26123	3426.37695	476.359711	2361.88281	7858.60205	1311.10107
AKR1C4	15.670981	18.93026	15.633427	16.20289	41.237648	21.851685
AKR1CL1	15.21007	28.3953875	12.874587	15.579702	20.214533	25.2660105
AKR1D1	3.68729	6.62559	5.51768	7.478257	5.660069	10.925842
AKR1E2	29.9592295	26.975619	30.3472415	87.2463345	41.641941	80.5780905
AKR7A2	1730.26074	2827.23413	848.803162	6686.80811	2804.16016	1817.78699
AKR7A3	30.420139	54.897751	21.151108	248.028854	73.580902	122.915726
AKR7L	101.400467	96.544319	224.385666	467.391052	143.927475	248.562912
AKT1	73.745794	123.9931945	57.475834	105.318785	92.582563	92.186794
AKT1S1	565.998962	711.77771	999.619751	1036.98499	431.78244	1098.04712
AKT2	129.055144	157.121143333333	214.576449	463.236463	118.861456333333	480.737073333333
AKT3	60.225732	118.314121	38.623763	83.9226636666667	117.783349333333	86.0410076666667
AKTIP	1383.6554855	1433.967116	1144.918673	1954.9409505	2834.0777	1225.06009
ALAD	335.082451	260.291061	144.3792955	739.724274	382.054703	412.450531
ALAS1	253.9620775	252.2456925	152.6558195	886.1734705	1367.7154165	602.2870805
ALAS2	47.012943	38.80703	35.864922	78.521698	61.452183	128.378647
ALB	18.436449	26.502361	18.392267	184.463669	35.57758	376.941559
ALCAM	65.679848	80.21697325	79.31665175	43.9347605	63.06934725	68.969379
ALDH16A1	748.519836	906.759399	1146.75781	2127.56421	817.475769	1716.72302
ALDH18A1	141.960648	208.232849	48.73951	88.492706	183.547974	69.652245
ALDH1A1	6660.16699	6160.85254	4391.15381	4277.56299	7761.57227	2839.35327
ALDH1A2	129.976959	136.297867	106.675148	2682.20142	2320.62842	1776.81506
ALDH1A3	11.061869	17.037233	11.954973	11.217385	63.877926	9.560112
ALDH1B1	185.286301	183.623505	83.684815	724.144531	242.574402	620.041565
ALDH1L1	2537.7771	3472.75586	333.819641	9436.31348	2209.85278	4605.24268
ALDH1L2	95.4086245	69.5686995	79.5465585	35.52172	38.4076135	42.337639
ALDH2	19753.7324	23013.5156	40348.957	36756.8789	22147.8516	24718.3516
ALDH3A1	1.843645	0.946513	1.839227	-2.492752	1.617163	1.36573
ALDH3A2	2097.146	3305.22314	697.066956	1919.41931	2559.96851	1473.62292
ALDH3B1	620.386475	541.405396	591.311401	664.318481	147.970383	337.335388
ALDH3B2	178.833557	284.900391	174.726532	1324.89783	274.917664	1184.08813
ALDH4A1	385.782695	663.9788135	488.3146975	1397.187651	343.242779	1250.326017
ALDH5A1	822.265625	658.77301	333.819641	1000.84003	1493.44971	651.453369
ALDH6A1	297.748657	1270.22034	204.15416	1490.66589	1083.49902	1996.69763
ALDH7A1	116.149626	163.2734785	139.7812335	310.970852	253.894543	181.6421315
ALDH8A1	243.361115	935.154785	541.652283	358.956329	110.775642	486.199982
ALDH9A1	852.68573	861.326782	505.787354	775.245972	1144.14258	686.962341
ALDOA	14324.198254	20940.65168	26771.784011	20654.323039	10405.6334985	13762.463801
ALDOB	932.884277	2917.15283	422.102539	45152.4688	4735.05225	47463.2266
ALDOC	1782.3436985	1992.8830425	655.684319	411.304125	492.83033	307.972187
ALG1	26.2719395	37.3872605	11.9549745	32.4057795	42.854813	27.997471
ALG10	92.182243	128.725754	80.006363	87.24633	182.73938	109.258423
ALG10B	496.862274	555.603088	540.732666	1338.60803	249.04306	786.660645
ALG10|ALG10B	41.48201	65.309395	35.864922	112.173851	55.792114	66.920784
ALG11	3.68729	2.839539	4.598067	2.492752	138.26741	13.657303
ALG12	153.022522	250.825928	188.520737	614.46344	219.125549	458.885376
ALG13	168.923965	172.26534925	296.8052095	71.04344125	100.264089	131.1101075
ALG14	82.042198	75.721039	26.668787	84.753578	203.762497	43.703369
ALG1L	113.384155	151.442078	150.816589	287.912903	196.485275	251.294373
ALG1L2	3.68729	4.732565	6.437294	3.739129	3.234325	8.194382
ALG1L9P	29.498318	41.646568	41.382603	44.869541	29.917511	50.532021
ALG2	44.708388	60.103571	32.186467	39.8840375	71.9637415	40.2890435
ALG3	355.362541	511.116989	1051.577909	512.8837775	304.8351595	431.57077
ALG5	3585.88916	2598.17798	1365.62585	2956.4043	5605.08594	1283.7865
ALG6	44.247475	54.4244945	41.842409	24.3043345	51.344914	24.5831455
ALG8	356.284378	333.645813	263.929039	388.869354	494.4475095	210.322464
ALG9	549.098887333333	602.928741666667	492.299677333333	375.159230666667	552.261057333333	360.552795333333
ALK	55.309345	116.421089	97.479019	153.30426	86.518204	221.248306
ALKBH1	194.0436285	215.804943	112.192829	190.0723705	229.6371025	149.54747
ALKBH2	957.312576	743.9591715	1172.9668765	584.5503955	538.110892	345.52977
ALKBH3	319.872375	306.670197	517.74231	241.796982	434.208191	273.146057
ALKBH4	56.231167	82.346626	90.122109	139.594131	81.666718	94.23539
ALKBH5	400.685465666667	447.700622333333	216.722216666667	367.680972666667	470.324806	254.025833
ALKBH6	41.48201	62.469852	38.62376	98.463715	77.62381	65.555054
ALKBH7	828.718384	1091.32947	566.481812	2062.75244	1355.99097	979.228638
ALKBH8	64.066659	250.825929	89.662305	53.594174	62.260763	108.575558
ALLC	15.670981	18.93026	12.874587	181.970917	16.980209	198.030884
ALMS1	86.651306	100.330368	115.871284	62.31881	97.838341	95.60112
ALMS1P	83.885841	90.865242	127.826256	325.304169	79.240974	350.992676
ALOX12	77.433083	107.902473	94.720177	329.043304	88.135368	267.683136
ALOX12B	49.778412	53.004723	50.578735	139.594131	27.491766	137.938751
ALOX15	72.823971	65.7826475	131.964515	205.6520575	48.1105905	283.38903
ALOX15B	91.260422	37.860519	440.494812	92.231834	30.726091	127.012917
ALOX15P1	47.012943	69.095444	47.819893	118.405731	53.366371	106.526962
ALOX5	724.552429	971.122253	1406.08887	103.449219	139.884567	196.665161
ALOX5AP	891.402283	675.810242	995.021667	764.028564	1495.06689	576.338196
ALOXE3	5.530934	5.679078	7.356907	12.463761	5.660069	10.925842
ALPI	1733.948	2431.5918	1326.08252	8280.92285	1817.69092	7627.60352
ALPK1	655.415771	535.726318	948.121399	332.78244	469.785767	334.603912
ALPK2	702.428711	671.077698	463.485138	51.101421	38.811905	88.772469
ALPK3	895.5505155	1523.412551	1008.3560735	614.4634395	318.1767675	735.4457525
ALPL	125.367853	402.2679905	98.398632	165.1448425	54.5792425	112.6727485
ALPP	11.061869	20.823284	18.392267	52.347797	17.78879	42.337639
ALPPL2	41.48201	84.239655	77.24752	250.521606	81.666718	178.910675
ALS2	634.213825	764.7824545	737.070088	790.825697	655.355194	688.3280585
ALS2CL	49.317501	44.0128515	69.430809	1445.1731285	109.1584855	600.92134
ALS2CR11	23.045561	33.60121	48.2797015	61.07243	30.3218015	72.383705
ALS2CR12	165.92804	182.677002	225.305267	351.478088	190.016617	371.478638
ALS2CR8	84.3467535	90.3919835	89.662301	64.188374	166.1634725	87.406742
ALX1	45.1693	45.432621	59.774868	122.144867	166.567764	122.915726
ALX3	14.749159	17.037233	21.151108	41.130413	18.59737	34.143257
ALX4	36.4119865	39.753543	56.556223	97.2173425	59.835018	140.670223
ALYREF	243.361115	261.237579	351.292297	282.927399	384.076141	574.972473
AMACR	272.859436	259.344543	33.106079	325.304169	149.587555	129.744385
AMACR|C1QTNF3-AMACR	1881.439554	2349.876057	1857.00594666667	1874.54981633333	447.415023666667	1046.14942333333
AMBN	2.765467	4.732565	6.437294	9.971009	4.851488	9.560112
AMBP	192.660889	158.067657	63.453323	646.869202	418.845154	289.534821
AMBRA1	339.230652	422.144775	378.880707	550.898254	360.627289	487.565704
AMD1	443.396576	310.456238	92.880951	343.999817	758.44928	263.585938
AMDHD1	14.749159	21.769798	12.874587	23.681147	11.320139	20.485954
AMDHD2	178.3726425	237.5747525	188.980545	170.7535285	69.5379965	131.1101035
AMELX	19.3582715	21.7697985	20.231493	56.0869275	19.0016625	43.7033695
AMELY	0.921822	0.946513	3.678453	1.246376	1.617163	4.097191
AMER1	170.537155	248.932907	217.948364	528.463501	213.465485	290.900543
AMER2	15.6709815	18.930259	17.9324595	78.5216955	20.214534	52.580616
AMER3	15.056433	9.780634	12.8745873333333	16.6183486666667	9.43344933333333	18.6649806666667
AMFR	1009.39557	1157.58533	900.301453	1951.82507	7130.07031	1256.47192
AMH	29.498318	51.111698	48.73951	82.260826	24.257441	91.503929
AMHR2	2.765467	3.786052	4.598067	7.478257	4.851488	10.925842
AMICA1	8.296402	2.839539	4.598067	8.724633	4.042907	4.097191
AMIGO1	42.403832	54.897751	43.221829	88.492706	56.600693	91.503929
AMIGO2	94.3331613333333	68.4644353333333	93.187486	158.705233333333	182.469854333333	121.094749666667
AMIGO3	46.091122	87.079193	68.051392	297.883911	89.752533	180.276398
AMMECR1	115.2278025	149.0757865	166.9098245	142.086876	124.9258155	220.565445
AMMECR1L	747.597961	530.047241	708.102295	668.057617	634.736389	551.755005
AMN	3614.46582	5220.96533	4267.92578	6145.88086	371.138855	6608.76904
AMN1	260.875732	330.333008	305.311646	297.883911	716.403076	383.770203
AMOT	290.374054	465.684357	91.961334	284.173767	371.947418	258.123016
AMOTL1	67.75395	64.836135	66.212164	75.40576	41.6419385	66.920784
AMOTL2	35.951077	15.144207	20.231495	85.999954	139.075989	39.606178
AMPD1	74.667618	123.993195	42.302216	115.912979	36.386162	136.573029
AMPD2	5042.36865	5805.91016	11429.874	4919.44678	4283.05566	4560.17334
AMPD3	35.490164	35.967491	44.1414415	41.130413	53.3663695	43.020504
AMPH	22.123737	27.448875	22.070721	358.956329	679.208313	136.573029
AMT	748.519836	728.814941	1000.53931	2082.69458	1446.552	1599.27014
AMTN	105.087753	107.902473	232.662186	352.724457	96.221184	400.158966
AMY1A|AMY1C|AMY1B|AMY2A|AMY2B	249.813873333333	264.392613666667	216.722208666667	127.130371666667	283.003466333333	289.534833666667
AMY2A|AMY1A|AMY1C|AMY1B|AMY2B	3144.33643	3221.92993	4647.72607	2044.05688	2814.67163	5320.88525
AMY2B	152.100708	348.316772	91.041725	115.912979	229.6371	210.322464
AMZ1	5.530934	5.679078	7.356907	1.246376	1.617163	4.097191
AMZ2	520.829651	528.154236	473.600891	473.622925	548.21814	258.123016
AMZ2P1	30.420139	45.432621	57.016029	104.695595	34.768997	111.989883
ANAPC1	247.970232333333	332.857050666667	347.000783	395.516693	298.09699	378.307286666667
ANAPC10	3.68729	0.946513	2.75884	1.246376	0	4.097191
ANAPC11	240.288388	192.773134666667	98.398628	416.289624333333	642.822169	215.330141666667
ANAPC13	483.034943	613.340393	158.173492	1166.60803	2282.62524	650.087646
ANAPC15	0.921822	3.786052	0.919613	17.449266	68.729416	1.36573
ANAPC16	726.396093	597.7229295	539.353245	1178.448633	1306.6674805	713.5941025
