id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0000120	8.93749075	8.068657875	8.1594753125	10.884418875	10.227383	10.5110375	8.761050625	10.196388375
hsa_circ_0000121	11.5392875	11.935793125	12.2589355	12.29852425	10.2091478125	10.553609375	11.555334	11.6727489375
hsa_circ_0000122	15.716757625	16.313791	15.90934575	15.979638125	13.5504175	12.345667875	14.887213625	14.546625875
hsa_circ_0000123	8.823998875	7.69371275	8.3094566875	7.07561575	12.29062475	9.7020725	10.352760625	12.3283395
hsa_circ_0000124	5.3265740625	5.849222	5.220671125	5.28341825	6.2874176875	5.5501891875	5.300387125	5.677890375
hsa_circ_0000125	5.286025625	5.233458375	5.3460485	5.45552775	7.739482	6.85430825	6.06547975	8.36669325
hsa_circ_0000126	7.9395723125	8.216424	8.009647	7.441111125	8.81647925	7.771429	8.56450775	8.3240335
hsa_circ_0000127	10.480416875	9.2347234375	9.589933875	10.0077678125	9.6145405625	10.193461375	10.105168	10.019476
hsa_circ_0000129	9.49944375	10.342429875	10.8692278125	10.632923125	9.51951325	8.665609875	9.436865375	9.24411825
hsa_circ_0000132	5.260651625	4.804653875	5.122697125	5.1639523125	5.237366125	4.968747625	4.86750675	4.672162875
hsa_circ_0000133	10.03661625	9.7470141875	9.57393375	9.119025	10.44276225	9.887661125	10.129408375	9.4692776875
hsa_circ_0000134	6.0319645	7.223341375	6.92352775	7.841893375	5.9760165	5.409946625	5.69215575	5.544669875
hsa_circ_0000392	7.494920125	8.06042425	7.4882686875	7.94375625	5.889372125	7.57620775	7.165708375	7.004518875
hsa_circ_0000140	7.785787875	8.001213875	8.05358125	8.185342625	7.3241318125	8.0007076875	7.8951755	7.12368675
hsa_circ_0000145	6.976137625	7.724622375	6.92352775	7.07561575	6.351252375	6.6521315	7.19083875	5.908382375
hsa_circ_0000148	6.174310375	8.6943811875	6.535862875	7.406297	5.633850125	5.45783775	6.028602	5.499093875
hsa_circ_0000150	8.296031875	8.79239225	9.5177375	9.457895875	11.144503	7.3743215	8.657024625	8.385400875
hsa_circ_0000152	4.81420675	7.8656915	6.4860225	7.454013375	5.237366125	4.692884875	5.078407875	5.031627875
hsa_circ_0000155	7.05114375	6.022427625	6.644968375	6.6405815	6.692566625	7.6600565	6.826166875	6.80862675
hsa_circ_0000156	7.3488345	6.82326075	6.73674925	6.207251375	6.632937	7.619999375	6.5176165	7.0162415
